brand,model,interface,brightness,contrast,temperature,sharpness,response_time,gamma,Backlight,HDMI-black-level,R-Gain,G-Gain,B-Gain,filename,note
HP,27bw,HDMI,34,80,6500,3,,Off,,,,,,HP 27bw_20220830_D65_120.icc,
LG,29UM68-P,DisplayPort,50,81,Warm,50,Middle,Off,,,,,,LG ULTRAWIDE_17-06-2022_D65_120_DisplayPort.icc,
LG,29UM68-P,HDMI,50,81,Warm,50,Middle,Off,,,,,,LG ULTRAWIDE_17-06-2022_D65_120_HDMI.icc,
Dell,P2715Q,MiniDisplayPort,39,93,,50,Normal,,,,90,100,100,DELL P2715Q_20220226_D65_120.icc,
Dell,P2715Q,HDMI,38,90,,50,Normal,,,,85,100,100,DELL P2715Q_14-05-2022_D65_120.icc,
Samsung,UN40MU6290,HDMI,5,100,Warm2,50,,ST2084,18,,,,,SAMSUNG_20200831.icc,
Samsung,UN40MU6290,HDMI,0,98,Warm2,50,,BT.1886,10,Low (limited),,,,SAMSUNG_20200902.icc,
Samsung,UN40MU6290,HDMI,0,100,Warm2,50,,BT.1886,10,Normal (full),,,,SAMSUNG_20200902_full2.icc,
Samsung,UN40MU6290,HDMI,0,100,Warm2,50,,BT.1886,7,Normal (full),,,,SAMSUNG_20200902_dci-p3.icc,
Samsung,UN40MU6290,HDMI,0,100,Warm1,50,,BT.1886,20,Normal (full),-16,5,-5,SAMSUNG_20200902_D65_native_sRGB.icc,
Samsung,UN40MU6290,HDMI,0,100,Warm1,50,,BT.1886,11,Normal (full),-16,5,-5,SAMSUNG_20200902_D65_120.icc,
Apple,MBA-M2,internal,12,,,,,,,,,,,Color LCD_20220830_D65_120_MBA-M2.icc,
Apple,MBA-M2,internal,,,,,,,,,,,,Color LCD_20220830_native_MBA-M2.icc,"For true tone; visually indiscenable from factory ""Color LCD"" calibration"
LG,DualUp,USB-C,33,70,Custom,50,Fast,Mode 2,,,50,50,48,LG SDQHD_08-10-2022_D65_120.icc,Uncheck HDR in settings.
